Name,WKN,Last Price,Date/Time Last Price,Volume in Euro,+/- %,Coupon,Currency,YTM
Otto GmbH & Co. KG 4%,A2LQ0B,"100,00",31.01.25 09:39,26.000,"0,27","4,00%",Euro,-
"BMW US Capital LLC 1,25% 21/26",A3KU41,"95,51",31.01.25 09:54,25.707,"0,51","1,25%",US-Dollar,-
"Deutschland, Bundesrepublik 0,000% 21/26",114183,"97,52",31.01.25 10:00,24.377,"0,03",-,Euro,-
"Apple Inc. 2,65% 20/50",A28W11,"63,00",31.01.25 08:00,24.224,"0,80","2,65%",US-Dollar,-
Toyota Motor Credit Corp. 1% 25/30,A4D6EZ,"100,79",31.01.25 09:26,24.221,"-0,04","1,00%",US-Dollar,-
"Deutschland, Bundesrepublik 2,2% 23/28",BU2500,"100,22",31.01.25 11:06,23.833,"0,23","2,20%",Euro,-
"Frankreich, Republik 0,000% 20/31",A3KPGV,"82,17",31.01.25 11:30,23.826,"0,21",-,Euro,-
"European Investment Bank (EIB) 2,875% 23/33",A3LCWP,"101,27",31.01.25 10:59,23.292,"0,54","2,88%",Euro,-
"European Investment Bank (EIB) 0,125% 19/29",A2R3YH,"90,38",31.01.25 11:52,22.595,"0,32","0,13%",Euro,"2,54%"
"Deutschland, Bundesrepublik 0,000% 00/31",114216,"84,30",31.01.25 11:30,21.975,"0,06",-,Euro,"2,20%"
"Ungarn, Republik 7,625% 11/41",A1GPDL,"112,72",31.01.25 11:36,21.579,"1,23","7,63%",US-Dollar,"6,58%"
EnBW International Finance B.V. 4% 24/36,A3L1LU,"102,85",31.01.25 11:45,20.582,"0,30","4,00%",Euro,-
"E.ON SE 4,125% 24/44",A383CW,"102,01",31.01.25 09:30,20.468,"0,05","4,13%",Euro,-
"Rumänien, Republik 6,125% 14/44",A1ZCJT,"87,90",31.01.25 09:30,20.462,"-0,27","6,13%",US-Dollar,"7,35%"
"Deutsche Pfandbriefbank AG 3,375% 17/27",A2DAST,"99,90",31.01.25 10:32,19.980,"1,22","3,38%",Euro,"3,42%"
"Landesbank Hessen-Thüringen Girozentrale 3,4% 23/28",HLB463,"100,20",31.01.25 09:31,19.952,"0,20","3,40%",Euro,"3,16%"
"Fresenius SE & Co. KGaA 2,875% 22/30",A3MQV2,"99,50",31.01.25 11:14,19.900,"0,49","2,88%",Euro,-
"Otto GmbH & Co. KG 2,625% 19/26",A2TR80,"99,30",31.01.25 10:08,19.860,"0,30","2,63%",Euro,"3,23%"
"Deutschland, Bundesrepublik 1% 15/25",110238,"99,31",31.01.25 11:10,19.848,"0,04","1,00%",Euro,"2,36%"
United States of America 6% 96/26,131485,"102,38",31.01.25 08:22,19.682,"0,62","6,00%",US-Dollar,"3,66%"
"OMV AG 6,25%",A1Z6ZR,"102,40",31.01.25 10:23,19.456,"0,00","6,25%",Euro,-
"American Express Co. 5,442% 25/36",A4D6C1,"100,49",31.01.25 09:55,19.319,"0,37","5,44%",US-Dollar,-
"Deutschland, Bundesrepublik 3,1% 23/25",BU2202,"100,46",31.01.25 11:13,"10,05 Mio.","0,06","3,10%",Euro,-
"Deutschland, Bundesrepublik 0,000% 20/25",114181,"99,58",31.01.25 11:25,"1,55 Mio.","0,03",-,Euro,-
"Deutschland, Bundesrepublik 0,000% 16/26",110240,"96,89",31.01.25 11:23,"1,51 Mio.","0,10",-,Euro,"2,16%"
"Deutschland, Bundesrepublik 2,8% 23/25",BU2201,"100,12",31.01.25 11:07,"1,00 Mio.","0,01","2,80%",Euro,-
"Deutschland, Bundesrepublik 0,000% 20/25",114182,"98,51",31.01.25 11:17,985.110,"0,07",-,Euro,-
"Deutschland, Bundesrepublik 0,5% 16/26",110239,"98,36",31.01.25 11:20,545.876,"0,08","0,50%",Euro,"2,19%"
"Deutschland, Bundesrepublik 2,5% 24/26",BU2204,"100,35",31.01.25 11:21,501.725,"0,07","2,50%",Euro,-
"BayWa AG 7,75%",A351PD,"44,00",31.01.25 11:51,494.000,"-12,00","7,75%",Euro,-
"Hamburg Commercial Bank AG 3,5% 25/30",HCB0CC,"99,80",31.01.25 09:30,299.940,"0,08","3,50%",Euro,-
"Landesbank Hessen-Thüringen Girozentrale 0,25% 21/31",HLB2ZX,"83,85",31.01.25 10:04,167.700,"0,42","0,25%",Euro,"3,27%"
"Landesbank Hessen-Thüringen Girozentrale 0,5% 21/33",HLB257,"80,15",31.01.25 10:02,160.300,"0,50","0,50%",Euro,-
"Mutares SE & Co. KGaA 11,183% 23/27",A30V9T,"99,50",31.01.25 11:20,129.775,"-0,15","11,18%",Euro,-
"Deutsche Bank AG 4,5% 16/26",DL40SR,"102,01",31.01.25 10:35,102.010,"0,44","4,50%",Euro,"3,00%"
"Deutschland, Bundesrepublik 2,6% 23/33",BU2Z01,"101,58",31.01.25 11:15,101.215,"0,36","2,60%",Euro,-
"Frankreich, Republik 0,5% 20/72",A2876Z,"33,33",31.01.25 11:30,100.650,"0,51","0,50%",Euro,-
BASF SE 3% 13/33,A1R08J,"99,19",31.01.25 11:32,99.190,"1,64","3,00%",Euro,"3,17%"
"Deutsche Lufthansa AG 2,875% 21/27",A3MQMA,"99,19",31.01.25 08:21,99.185,"0,17","2,88%",Euro,-
"Deutschland, Bundesrepublik 2,6% 24/41",BU2F00,"98,30",31.01.25 11:18,97.960,"0,43","2,60%",Euro,-
"Ontario, Provinz 2,5% 16/26",A180PR,"97,49",31.01.25 10:32,93.713,"0,02","2,50%",US-Dollar,"4,69%"
"Deutschland, Bundesrepublik 0,5% 15/25",110237,"99,94",31.01.25 10:00,86.147,"0,02","0,50%",Euro,"2,15%"
"Volkswagen Financial Services AG 3,375% 20/28",A2LQ6L,"101,03",31.01.25 10:33,77.710,"0,50","3,38%",Euro,-
"John Deere Capital Corp. 4,15% 22/27",A3K885,"99,24",31.01.25 11:56,76.307,"0,14","4,15%",US-Dollar,-
"The Platform Group AG 8,875% 24/28",A383EW,"101,15",31.01.25 11:45,73.840,"0,00","8,88%",Euro,-
The Goldman Sachs Group Inc. 2% 18/28,A19340,"97,08",31.01.25 11:45,73.781,"0,32","2,00%",Euro,"2,78%"
"Deutsche Post AG 3,5% 24/36",A383CT,"102,45",31.01.25 10:48,71.715,"0,54","3,50%",Euro,-
Wells Fargo & Co. 3% 16/26,A18784,"97,39",31.01.25 10:59,71.126,"0,04","3,00%",US-Dollar,"4,64%"
Deutsche Pfandbriefbank AG 4% 24/28,A38261,"99,48",31.01.25 10:47,69.718,"0,16","4,00%",Euro,-
"United States of America 4,625% 23/26",A3LNE7,"100,60",31.01.25 10:00,67.711,"-0,01","4,63%",US-Dollar,-
"Citigroup Inc. 3,3% 15/25",A1Z0U3,"99,59",31.01.25 10:23,65.098,"0,00","3,30%",US-Dollar,"5,07%"
KION GROUP AG 4% 24/29,A383W2,"102,47",31.01.25 10:15,61.482,"0,49","4,00%",Euro,-
PNE AG 5% 22/27,A30VJW,"100,12",31.01.25 09:30,61.305,"0,12","5,00%",Euro,-
"Commerzbank AG 1,5% 18/28",CZ40M3,"95,61",31.01.25 10:47,60.310,"0,27","1,50%",Euro,"2,86%"
"E.ON SE 1,625% 22/31",A3MQY9,"91,84",31.01.25 10:00,59.053,"-0,09","1,63%",Euro,-
"Mercedes-Benz Group AG 1,125% 19/31",A2YPFU,"88,14",31.01.25 09:50,58.172,"0,85","1,13%",Euro,-
"Australia, Commonwealth of... 3,75% 22/34",A3LBSH,"95,16",31.01.25 11:50,56.989,"0,20","3,75%",Australische Dollar,-
"Deutsche Telekom International Finance B.V. 4,5% 10/30",A1A21E,"109,50",31.01.25 10:53,55.650,"1,32","4,50%",Euro,"2,78%"
"Katjes International GmbH & Co. KG 6,75% 23/28",A30V78,"108,00",31.01.25 10:29,54.000,"0,33","6,75%",Euro,-
Deutsche Telekom AG 3% 25/32,A4DFD0,"99,91",31.01.25 09:32,53.943,"0,37","3,00%",Euro,-
"Bayer AG 4,625% 23/33",A351U1,"106,10",31.01.25 11:49,53.050,"1,05","4,63%",Euro,"3,75%"
"E.ON SE 2,875% 22/28",A30VMX,"100,75",31.01.25 09:55,52.390,"0,26","2,88%",Euro,-
SoWiTec group GmbH 8% 23/28,A30V6L,"95,00",31.01.25 11:14,51.300,"0,96","8,00%",Euro,-
"Landesbank Hessen-Thüringen Girozentrale 3,9% 23/30",HLB464,"102,10",31.01.25 11:11,51.050,"0,29","3,90%",Euro,"3,51%"
"Landesbank Hessen-Thüringen Girozentrale 3,8% 24/34",HLB53Y,"101,45",31.01.25 10:00,50.850,"1,10","3,80%",Euro,"3,63%"
"Deutschland, Bundesrepublik 2,6% 24/34",BU2Z03,"101,26",31.01.25 11:52,50.630,"0,37","2,60%",Euro,-
"SANHA GmbH & Co. KG 8,75% 24/29",A383VY,"101,00",31.01.25 10:13,50.500,"-0,65","8,75%",Euro,-
"Deutschland, Bundesrepublik 2% 24/26",BU2207,"99,77",31.01.25 11:52,49.955,"0,12","2,00%",Euro,-
"Landesbank Hessen-Thüringen Girozentrale 2,8% 23/25",HLB508,"99,90",31.01.25 11:36,49.950,"0,00","2,80%",Euro,"1,58%"
"Volkswagen Financial Services AG 2,25% 19/27",A2LQ6G,"98,55",31.01.25 10:08,49.275,"0,54","2,25%",Euro,"2,88%"
Walmart Inc. 4% 23/26,A3LGSP,"99,85",31.01.25 10:34,47.992,"0,32","4,00%",US-Dollar,-
"International Bank for Reconstruction and Development 3,5% 23/28",A3LGC6,"97,29",31.01.25 09:08,46.761,"0,00","3,50%",US-Dollar,-
"Citigroup Inc. 3,4% 16/26",A180XA,"98,73",31.01.25 10:57,46.450,"0,04","3,40%",US-Dollar,"4,55%"
"Union Pacific Corp. 3,7% 19/29",A2RX12,"96,50",31.01.25 10:32,46.381,"0,94","3,70%",US-Dollar,"4,70%"
"Fraport AG Frankfurt Airport Services Worldwide 4,25% 24/32",A383CB,"104,06",31.01.25 11:14,41.618,"0,89","4,25%",Euro,-
"MTU Aero Engines AG 3,875% 24/31",A383RD,"102,70",31.01.25 10:51,41.073,"0,59","3,88%",Euro,-
"Israel, Staat 1,5% 19/29",A2RWFR,"92,66",31.01.25 11:30,40.273,"0,73","1,50%",Euro,"3,21%"
"Landesbank Hessen-Thüringen Girozentrale 3,05% 23/28",HLB47G,"100,50",31.01.25 10:01,40.200,"0,20","3,05%",Euro,"3,23%"
BERTELSMANN  GEN.2001,522994,"274,34",31.01.25 11:49,40.006,"1,61","15,00%",Euro,"-1,34%"
"Deutschland, Bundesrepublik 2,3% 23/33",BU3Z00,"99,59",31.01.25 11:14,39.849,"0,36","2,30%",Euro,-
"Volkswagen Leasing GmbH 4,75% 23/31",A3514V,"106,35",31.01.25 08:43,39.350,"-0,09","4,75%",Euro,-
"John Deere Capital Corp. 4,75% 23/28",A3LCL5,"100,68",31.01.25 10:00,38.789,"-0,04","4,75%",US-Dollar,-
"Rumänien, Republik 5,625% 24/37",A3LZEJ,"94,58",31.01.25 10:41,37.832,"1,35","5,63%",Euro,-
"United States of America 2,625% 19/26",A2RW7Z,"98,45",31.01.25 10:44,36.909,"0,04","2,63%",US-Dollar,"4,32%"
"Electricité de France S.A. (E.D.F.) 4,75% 15/35",A1Z7X8,"93,00",31.01.25 11:47,35.759,"1,61","4,75%",US-Dollar,"5,69%"
"Rumänien, Republik 1,75% 21/30",A3KTZA,"84,12",31.01.25 10:15,35.306,"0,97","1,75%",Euro,-
"Österreich, Republik 0,000% 20/30",A28S4E,"88,11",31.01.25 11:30,35.160,"0,24",-,Euro,-
"Buenos Aires, Province of... 5,125% 21/37",A3KV0J,"64,75",31.01.25 10:53,32.375,"-0,96","5,13%",Euro,-
"Electricité de France S.A. (E.D.F.) 6,95% 09/39",A0T569,"111,18",31.01.25 10:12,32.038,"2,36","6,95%",US-Dollar,"5,88%"
"Südzucker International Finance B.V. 4,125% 25/32",A3L7YF,"100,35",31.01.25 10:09,32.030,"0,24","4,13%",Euro,-
"PANDION AG 5,5% 21/26",A289YC,"70,00",31.01.25 10:09,31.520,"0,00","5,50%",Euro,-
"Mercedes-Benz International Finance B.V. 3,7% 23/31",A3LH6U,"103,50",31.01.25 09:30,31.035,"0,35","3,70%",Euro,-
"EnBW International Finance B.V. 3,625% 22/26",A3LBKB,"102,15",31.01.25 11:14,30.645,"0,91","3,63%",Euro,-
"United States of America 0,5% 21/26",A3KMDQ,"96,09",31.01.25 10:00,30.037,"0,01","0,50%",US-Dollar,-
"Wiener Städtische Versicherung AG Vienna Insurance Group 3,5% 17/27",A19G0B,"99,32",31.01.25 11:19,29.897,"-0,25","3,50%",Euro,"2,93%"
DZ HYP AG 3% 23/32,A3MQUZ,"102,78",31.01.25 10:57,29.806,"2,07","3,00%",Euro,-
"BMW Finance N.V. 1,5% 19/29",A2RXDR,"95,18",31.01.25 10:00,28.560,"0,02","1,50%",Euro,"2,75%"
"Comunidad Autónoma de Madrid 2,822% 22/29",A3K98T,"101,50",31.01.25 10:57,28.420,"1,70","2,82%",Euro,-
"NatWest Markets PLC 0,000% 05/35",ABN1WQ,"90,55",31.01.25 10:15,27.165,"0,39",-,Euro,-
"Microsoft Corp. 2,4% 16/26",A184SD,"97,11",31.01.25 10:30,26.176,"0,04","2,40%",US-Dollar,"4,35%"
Otto GmbH & Co. KG 4%,A2LQ0B,"100,00",31.01.25 09:39,26.000,"0,27","4,00%",Euro,-
"BMW US Capital LLC 1,25% 21/26",A3KU41,"95,51",31.01.25 09:54,25.707,"0,51","1,25%",US-Dollar,-
"Deutschland, Bundesrepublik 0,000% 21/26",114183,"97,52",31.01.25 10:00,24.377,"0,03",-,Euro,-
"Apple Inc. 2,65% 20/50",A28W11,"63,00",31.01.25 08:00,24.224,"0,80","2,65%",US-Dollar,-
Toyota Motor Credit Corp. 1% 25/30,A4D6EZ,"100,79",31.01.25 09:26,24.221,"-0,04","1,00%",US-Dollar,-
"Deutschland, Bundesrepublik 2,2% 23/28",BU2500,"100,22",31.01.25 11:06,23.833,"0,23","2,20%",Euro,-
"Frankreich, Republik 0,000% 20/31",A3KPGV,"82,17",31.01.25 11:30,23.826,"0,21",-,Euro,-
"European Investment Bank (EIB) 2,875% 23/33",A3LCWP,"101,27",31.01.25 10:59,23.292,"0,54","2,88%",Euro,-
"European Investment Bank (EIB) 0,125% 19/29",A2R3YH,"90,38",31.01.25 11:52,22.595,"0,32","0,13%",Euro,"2,54%"
"Deutschland, Bundesrepublik 0,000% 00/31",114216,"84,30",31.01.25 11:30,21.975,"0,06",-,Euro,"2,20%"
"Ungarn, Republik 7,625% 11/41",A1GPDL,"112,72",31.01.25 11:36,21.579,"1,23","7,63%",US-Dollar,"6,58%"
EnBW International Finance B.V. 4% 24/36,A3L1LU,"102,85",31.01.25 11:45,20.582,"0,30","4,00%",Euro,-
"E.ON SE 4,125% 24/44",A383CW,"102,01",31.01.25 09:30,20.468,"0,05","4,13%",Euro,-
"Rumänien, Republik 6,125% 14/44",A1ZCJT,"87,90",31.01.25 09:30,20.462,"-0,27","6,13%",US-Dollar,"7,35%"
"Deutsche Pfandbriefbank AG 3,375% 17/27",A2DAST,"99,90",31.01.25 10:32,19.980,"1,22","3,38%",Euro,"3,42%"
"Landesbank Hessen-Thüringen Girozentrale 3,4% 23/28",HLB463,"100,20",31.01.25 09:31,19.952,"0,20","3,40%",Euro,"3,16%"
"Fresenius SE & Co. KGaA 2,875% 22/30",A3MQV2,"99,50",31.01.25 11:14,19.900,"0,49","2,88%",Euro,-
"Otto GmbH & Co. KG 2,625% 19/26",A2TR80,"99,30",31.01.25 10:08,19.860,"0,30","2,63%",Euro,"3,23%"
"Deutschland, Bundesrepublik 1% 15/25",110238,"99,31",31.01.25 11:10,19.848,"0,04","1,00%",Euro,"2,36%"
United States of America 6% 96/26,131485,"102,38",31.01.25 08:22,19.682,"0,62","6,00%",US-Dollar,"3,66%"
"OMV AG 6,25%",A1Z6ZR,"102,40",31.01.25 10:23,19.456,"0,00","6,25%",Euro,-
"American Express Co. 5,442% 25/36",A4D6C1,"100,49",31.01.25 09:55,19.319,"0,37","5,44%",US-Dollar,-
